id_univ,id_wilayah,nama_univ,akred_univ,latitude,longitude
2003,32.01,Institut Pertanian Bogor,Unggul,-6.597146,106.806038
2013,64.71,Institut Teknologi Kalimantan,B,-1.182795,116.487147
2002,35.78,Institut Teknologi Sepuluh November,A,-7.279818,112.794620
335001,31.75,Sekolah Tinggi Ilmu Statistika,B,-6.360975,106.832550
1004,35.78,Universitas Airlangga,A,-7.269889,112.751929
1030,17.71,Universitas Bengkulu,B,-3.761663,102.289309
1019,35.73,Universitas Brawijaya,A,-7.952626,112.613437
1018,91.71,Universitas Cenderawasih,B,-2.560217,140.702858
1008,33.74,Universitas Diponegoro,Unggul,-7.050318,110.438103
1001,34.04,Universitas Gadjah Mada,A,-7.770079,110.377157
1029,74.71,Universitas Halu Oleo,B,-4.007909,122.513216
1005,73.71,Universitas Hasanuddin,A,-5.135399,119.487444
1002,32.76,Universitas Indonesia,A,-6.362817,106.826692
1010,63.71,Universitas Lambung Mangkurat,A,-3.304507,114.590855
1015,64.72,Universitas Mulawarman,A,-0.470739,117.160742
1047,75.71,Universitas Negeri Gorontalo,Unggul,0.552961,123.064455
1037,31.75,Universitas Negeri Jakarta,B,-6.181209,106.846909
1036,73.71,Universitas Negeri Makassar,A,-5.134343,119.491363
1032,13.71,Universitas Negeri Padang,A,-0.914813,100.463408
1041,33.74,Universitas Negeri Semarang,A,-7.050406,110.438093
1038,34.04,Universitas Negeri Yogyakarta,A,-7.771387,110.377485
1007,32.11,Universitas Padjadjaran,Unggul,-6.926883,107.717304
1021,81.71,Universitas Pattimura,B,-3.654703,128.190402
1017,14.71,Universitas Riau,A,0.463271,101.390418
1027,33.72,Universitas Sebelas Maret,A,-7.558606,110.854947
1003,12.71,Universitas Sumatera Utara,A,3.562282,98.652243
1011,11.71,Universitas Syiah Kuala,A,5.578354,95.365357
1028,72.71,Universitas Tadulako,B,-0.891612,119.869906
1022,61.71,Universitas Tanjungpura,A,-0.064057,109.344319
1031,36.73,Universitas Terbuka,B,-6.355672,106.830726

